cp1;cp2;REF;email;sesso;eta;valido;gruppo;tempoistr;tempotask;tempovd;tempocheck;tempotot;vd;check;;;;;;;;;;;
A;191;334;;F;22;si;2;55.0492;251.4505;26.3483;13.6005;435.4657;70;2;;;;;;;;;;;
B;192;335;;F;20;si;2;82.436;292.841;61.769;14.933;536.361;58;1;;;;;;;;;;;
A;193;337;;F;24;si;1;27.8249;620.6066;30.0811;11.8807;732.5556;18;1;;;;;;;;;;;
B;194;338;;M;28;si;2;39.8667;207.7929;13.3326;8.5168;328.1547;80;6;;;;;;;;;;;
A;195;339;;M;33;si;1;29.3455;202.7967;15.7485;10.0266;294.783;74;1;;;;;;;;;;;
B;196;341;;F;21;si;1;59.6792;265.9296;23.7974;13.5313;440.8212;55;2;;;;;;;;;;;
A;197;342;;F;19;si;2;51.7828;197.4687;16.5502;11.4331;336.8463;72;7;;;;;;;;;;;
A;198;344;;F;21;si;2;27.8681;198.7374;30.5169;29.1191;338.2249;70;6;;;;;;;;;;;
B;199;345;;F;51;si;1;39.6991;214.8254;13.8649;7.2647;328.4014;16;1;;;;;;;;;;;
A;200;346;;F;25;si;1;43.7681;240.6618;23.9336;9.8832;402.292;56;5;;;;;;;;;;;
B;201;347;;M;21;si;2;64.6409;241.1259;14.5041;13.8792;418.3365;60;5;;;;;;;;;;;
A;202;348;;F;20;si;1;45.6958;255.2528;31.3522;17.1253;418.9141;55;1;;;;;;;;;;;
B;203;349;;F;20;si;2;64.7676;254.4679;22.7158;15.517;436.7416;70;3;;;;;;;;;;;
A;204;350;;F;21;si;2;63.8207;270.8664;19.5571;4.9313;410.5342;30;5;;;;;;;;;;;
B;205;351;;F;21;si;1;44.877;243.115;43.695;20.133;427.136;56;1;;;;;;;;;;;
A;206;501;;F;24;si;2;78.6108;236.7669;18.1242;9.5905;455.978;40;5;;;;;;;;;;;
B;207;502;;F;20;si;2;54.0015;250.539;22.417;24.4161;415.6232;43;5;;;;;;;;;;;
A;208;503;;F;23;si;1;26.5082;281.6392;15.7181;19.2147;442.6148;63;1;;;;;;;;;;;
B;209;504;;F;20;si;1;48.5328;238.2067;17.8156;9.6323;365.7158;73;2;;;;;;;;;;;
A;210;;;;;si;;;;;;;;;;;;;;;;;;;
A;211;;;;;si;;;;;;;;;;;;;;;;;;;
B;212;;;;;si;;;;;;;;;;;;;;;;;;;
A;213;;;;;si;;;;;;;;;;;;;;;;;;;
B;214;;;;;si;;;;;;;;;;;;;;;;;;;
A;215;;;;;si;;;;;;;;;;;;;;;;;;;
B;216;;;;;si;;;;;;;;;;;;;;;;;;;
A;217;;;;;si;;;;;;;;;;;;;;;;;;;
B;218;;;;;si;;;;;;;;;;;;;;;;;;;
A;219;;;;;si;;;;;;;;;;;;;;;;;;;
B;220;;;;;si;;;;;;;;;;;;;;;;;;;
A;221;;;;;si;;;;;;;;;;;;;;;;;;;
B;222;;;;;si;;;;;;;;;;;;;;;;;;;
A;223;;;;;si;;;;;;;;;;;;;;;;;;;
A;224;;;;;si;;;;;;;;;;;;;;;;;;;
B;225;;;;;si;;;;;;;;;;;;;;;;;;;
